AB,AK,AL,AR,AZ,BC,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NH,NJ,NL,NM,NS,NT,NU,NV,NY,OH,OK,ON,OR,PA,PE,PR,QC,RI,SC,SD,SK,TN,TT,TX,UT,VA,VI,VT,WA,WI,WV,WY,YT
AB,0,0,0,0,29574,0,52913,12472,0,0,7151,3718,12990,0,0,7735,0,0,0,0,0,0,0,0,0,9227,0,0,2,0,0,90,0,0,3162,0,0,0,0,0,23648,3166,0,0,0,1402,0,0,0,0,0,0,0,0,1298,0,26357,2146,0,0,0,11124,0,0,0,0
AK,0,258954,0,0,3049,0,4500,4178,0,0,0,0,8502,0,0,1004,0,0,0,0,0,0,0,0,0,5779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110026,0,0,0,5
AL,0,0,116,49,148,0,165,9810,0,0,20317,84918,0,0,0,16169,0,0,0,139,0,0,3401,0,5916,0,114,0,0,0,24217,0,0,0,0,0,0,0,0,0,4613,3727,0,0,0,0,3039,0,0,0,0,75,0,0,346,0,58595,95,12593,0,0,3,0,0,0,0
AR,0,0,0,0,3398,0,3446,7965,0,0,5255,34686,0,0,0,16573,0,0,0,111,0,0,0,0,1091,2390,6696,123,0,0,11880,0,0,0,1277,0,0,0,0,0,5320,3718,0,9,4,0,0,0,0,0,0,0,0,0,335,0,62012,0,3020,0,0,0,0,0,0,0
AZ,29987,3190,326,3189,65505,14611,525016,148340,0,0,70234,66310,38266,26182,15354,157600,19887,6413,16655,6254,18342,3842,21251,0,47814,104343,57207,0,10790,0,54511,19973,26940,0,35221,0,32596,0,0,0,98056,43310,27556,20491,12316,53290,51197,0,0,2296,0,168,11043,4325,18446,0,264462,73042,21185,0,0,116806,35165,0,2,0
BC,0,0,0,0,14987,0,95073,11573,0,0,835,0,47817,0,0,10900,0,6,0,0,0,0,0,0,0,7589,0,0,0,0,0,0,0,0,7498,0,0,0,0,0,17505,4726,0,0,0,8358,0,0,0,0,0,0,0,0,0,0,15046,2326,0,0,0,47633,0,0,0,0
CA,53351,4504,234,3533,536826,95409,2058348,399905,2013,0,222985,226703,406222,312,42708,386159,21697,338,20659,54711,146179,1435,63624,5,82373,133911,91567,103,5717,0,99213,0,11893,0,196852,0,33968,0,0,0,552355,319005,33476,8408,57760,300149,92541,0,0,13746,0,2,150,0,55724,0,813551,244337,138787,0,0,527990,5458,0,3810,0
CO,12920,4121,9865,8715,152461,11709,412978,114098,8128,0,186636,92065,24056,19712,23580,143029,19706,9442,27801,33274,36844,1388,34147,0,47032,66586,73355,1255,38275,0,52778,21926,32199,0,44158,0,25660,0,0,0,109775,68947,37685,33055,11630,51107,47986,0,0,2036,0,2698,16111,0,46587,0,342657,81593,67573,0,0,84651,32191,0,20206,0
CT,0,0,0,0,0,0,2258,7718,0,0,92131,26048,0,0,0,23873,122,0,1332,0,2,0,18521,0,11564,7831,4175,0,0,0,26611,0,0,0,456,0,0,0,0,0,0,341,876,0,1715,0,15086,0,7711,145,0,1810,0,0,0,0,8344,0,25234,0,0,0,137,0,0,0
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,6902,0,20976,5254,65404,765,216544,181826,95018,0,349423,861638,0,19472,0,504187,115251,6,108779,75422,282010,3892,229578,15589,311907,208947,132791,6103,0,1577,448290,3745,10039,25437,452915,1695,1481,12706,0,0,71644,846187,185186,4385,224242,5127,394992,0,170855,93708,68301,22228,2904,1400,166563,0,638333,34366,288879,25233,1979,35945,78055,5984,5,0
GA,3438,0,83944,35187,65387,0,226377,87448,27075,0,865444,138034,8289,16991,0,127515,64464,11037,82405,107004,88068,0,76391,4317,102208,73977,102158,36711,3707,0,202080,498,21243,4021,71321,0,9270,0,0,0,68839,233954,108272,30318,33588,16858,129609,0,24686,9381,12399,111401,3179,0,147116,0,305142,57278,232596,7596,3611,41476,53919,7162,3654,0
HI,13298,9177,0,0,38218,50605,394581,23193,0,0,0,8424,559259,0,0,22633,0,0,0,0,0,0,0,0,0,8243,0,0,0,0,0,0,0,0,6103,0,0,0,0,0,23059,7564,0,0,1790,38677,0,0,0,0,0,0,0,0,0,9924,44163,13835,4764,0,0,91333,0,0,0,0
IA,0,0,0,0,24448,0,0,19351,0,0,19287,16131,0,315,0,38425,155,0,73,0,0,0,0,0,10300,11677,7279,0,111,0,8890,0,38,0,0,0,0,0,0,0,11233,2792,0,49,0,0,3393,0,0,0,0,0,0,0,0,0,21487,1508,1881,0,0,0,0,0,0,0
ID,57,0,0,0,15630,0,43381,24560,0,0,0,0,0,0,166,4641,0,0,0,0,0,0,0,0,0,6216,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11158,0,0,0,0,13323,0,0,0,0,0,0,0,0,0,0,6435,38148,0,0,0,41245,80,0,0,0
IL,7566,1231,16340,16350,154801,10744,384072,141957,23485,0,529244,131646,22874,40015,4408,51327,51904,11998,68085,40550,76764,3227,46280,2906,123555,112763,112729,3376,9213,0,105786,9380,38888,3736,69282,0,10940,0,0,0,116966,247252,117381,21158,52157,27890,135447,0,15513,14200,12549,28341,8092,0,77058,0,302638,42396,135358,605,5019,65734,69416,3045,5881,0
IN,0,0,0,4,21594,0,21828,20097,0,0,123488,69364,0,109,0,54115,0,0,40,1927,7791,0,10267,0,27961,14852,4981,121,0,0,31487,89,0,0,9224,0,0,0,0,0,21673,14356,139,92,2140,96,11650,0,0,0,0,1162,0,0,256,0,50667,3231,16046,0,0,6939,43,0,2,0
KS,0,0,0,0,6230,6,105,10132,0,0,115,10341,0,0,0,12205,0,1650,94,0,0,0,0,0,0,3628,6248,0,0,0,0,0,0,0,0,0,0,0,0,0,5455,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,26712,102,8,0,0,1985,23,0,0,0
KY,0,0,0,0,17005,0,19903,26478,1108,0,113420,85653,0,126,0,69666,39,92,0,2637,7881,0,20417,0,20316,15388,4862,281,0,0,38173,0,0,0,15864,0,0,0,0,0,18650,21167,61,102,3670,90,15982,0,863,0,0,1308,0,0,209,0,57313,8864,23383,0,0,2288,0,47,0,0
LA,0,0,50,0,6078,0,51317,32351,0,0,75743,105934,0,0,0,39164,2011,0,2615,0,10892,0,19130,0,14887,10472,11559,0,0,0,36366,0,0,0,20196,0,0,0,0,0,11625,31154,2184,151,3699,0,12439,0,0,0,0,67,0,0,16495,0,196488,4234,24040,0,0,9312,0,0,0,0
MA,0,0,0,0,17798,0,132021,36560,0,0,270478,86775,0,0,0,72328,6048,0,6526,10884,6185,0,45054,1100,31615,31790,16232,0,0,0,70297,0,0,464,41660,0,262,3777,0,0,22778,113199,17811,0,27257,4187,72529,0,8963,6630,0,13421,0,0,19594,0,75376,17105,94366,4190,526,22161,5071,0,0,0
MB,0,0,0,0,3670,0,1758,1372,0,0,3726,0,0,0,0,3228,0,0,0,0,0,0,0,0,0,9777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,3569,0,19213,0,60388,33426,19509,0,224691,75635,0,0,0,46401,8768,0,18557,18222,47287,0,223,9818,33472,20564,20720,0,0,0,60610,0,0,16945,237,0,4594,0,0,0,24067,58077,21297,3152,4158,0,14457,0,15964,970,15837,15250,0,0,21811,0,82992,10527,12258,0,0,4813,7174,197,0,0
ME,0,0,0,0,0,0,0,0,43,0,15284,4300,0,0,0,2797,0,0,0,0,1271,0,10780,42,3821,0,0,0,0,0,9219,0,0,0,10143,0,0,0,0,0,0,14434,0,0,0,0,17125,0,0,0,0,0,0,0,0,0,0,0,12921,0,0,0,0,0,0,0
MI,0,0,5951,1336,48275,0,78676,46195,11950,0,322944,103514,0,10742,0,127096,27337,0,20741,14653,33913,0,34773,4239,103996,57099,33055,551,324,0,50349,0,4966,5608,23884,0,180,0,0,0,52869,104589,22926,1569,15561,5048,57593,0,0,7663,8285,16464,0,0,36164,0,96878,23217,57405,0,4512,25490,44099,0,0,0
MN,9026,5434,0,2212,106795,7329,135015,66106,8383,0,212028,73489,8306,10946,6143,109181,14274,3614,15360,10592,34073,10298,23365,0,53345,37370,38865,122,24846,0,35665,39615,15156,0,17435,0,0,0,0,0,64513,45419,20012,4540,10806,20533,23374,0,3108,1524,44,0,20428,3342,21758,0,81800,28877,39696,0,0,51274,48355,0,1376,0
MO,48,0,116,5996,55892,0,91590,73534,4008,0,133243,100137,0,7734,0,109340,3988,6296,4786,10635,15683,0,21331,0,31405,37108,27891,243,0,0,41328,0,10669,0,18615,0,3302,0,0,0,45142,35313,14105,12484,4052,7684,24918,0,0,39,0,484,0,0,23234,0,175950,14384,39992,0,0,19597,11873,0,0,0
MS,0,0,28,121,105,0,103,1269,0,0,6031,36893,0,0,0,2837,122,0,107,80,0,0,0,0,465,123,125,1343,0,0,8503,0,0,0,0,0,0,0,0,0,0,0,466,116,0,115,120,0,0,0,0,284,0,0,1775,0,26234,0,1494,0,0,0,243,0,0,0
MT,0,0,0,0,10540,0,5985,38160,0,0,0,3608,0,0,52,10304,0,0,0,0,0,0,0,2,344,26204,0,0,4014,0,0,0,0,0,3271,0,0,0,0,0,6662,0,0,0,0,5187,127,0,0,0,0,0,0,0,4,0,9277,40968,0,0,0,26259,0,0,0,0
NB,0,0,0,0,0,0,0,0,0,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,24514,12044,53213,0,93732,54161,28134,0,444048,199651,0,8918,0,103400,29102,0,35725,34531,74490,0,60322,9341,48550,32741,40388,8411,0,0,217795,0,5998,6200,74677,6,0,0,0,0,33925,180309,55366,9715,13560,4385,119987,0,16455,4242,13383,74865,0,0,90945,0,171835,13299,169992,5948,4259,22772,12631,8758,0,0
ND,0,0,0,0,18659,0,0,20827,0,0,3887,506,0,0,7,9035,0,0,0,0,0,0,0,0,0,38262,0,0,0,0,0,907,0,0,0,0,0,0,0,0,10172,0,178,0,0,0,0,0,0,7,0,0,37,0,0,0,6741,0,155,0,0,0,0,0,0,0
NE,0,0,0,0,25567,0,11472,30465,0,0,10191,19563,0,38,0,37314,0,0,0,0,0,0,0,0,4436,14709,10851,0,0,0,5597,0,149,0,3193,0,0,0,0,0,15103,2588,0,0,657,0,3490,0,0,0,50,0,97,0,55,0,33512,3821,4729,0,0,4240,239,0,0,0
