State,beta_min,beta_max,beta_opt,gamma_min,gamma_max,gamma_opt,R0_min,R0_max,R0_opt,N_min,N_max,N_opt,C_inf,T_start,T_end,data points dropped,population
AK,,,,,,,,,,,,,,,,,
AL,0.468373728,2.010557334,0.720144932,0.117363865,1.663891934,0.364879417,1.208346103,3.990783092,1.973651839,1481,4302,1851,1463,737864,737882,0,4903185
AR,,,,,,,,,,,,,,,,,
AZ,0.434842892,1.684269475,0.719385625,0.123407758,1.377099882,0.40692313,1.22305542,3.523626861,1.767866143,2245,6070,3009,2172,737854,737882,0,7278717
CA,0.312404494,3.236033635,0.621593238,0.078361619,3.003252529,0.38719936,1.077509668,3.98670292,1.605357093,8305,54011,12783,8248,737854,737876,6,39512223
CO,0.305237811,3.756590968,0.583875933,0.076312962,3.541168965,0.358770689,1.060833585,3.999816038,1.62743488,608,4918,917,612,737856,737870,12,5758736
CT,0.505347519,8.195255018,0.961896397,0.127132037,7.819804219,0.580847234,1.048012813,3.974981698,1.65602303,3614,36067,5275,3546,737860,737879,3,3565287
DC,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,
GA,0.267706411,1.257984195,0.57168262,0.067033581,1.05785049,0.37123192,1.189189027,3.993616431,1.539960843,26896,84170,44137,26885,737854,737882,0,10617423
HI,,,,,,,,,,,,,,,,,
IA,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,
IL,0.340677622,4.795489814,0.83443893,0.085257763,4.541544224,0.578079966,1.055916133,3.99585455,1.443466265,15031,129531,26641,15026,737854,737882,0,12671821
IN,0.775683182,15.07171196,1.259464108,0.195236697,14.46566498,0.657895675,1.041895549,3.973039877,1.914382713,3698,47147,4848,3599,737858,737882,0,6732219
KS,,,,,,,,,,,,,,,,,
KY,,,,,,,,,,,,,,,,,
LA,0.227124923,0.24359728,0.499891824,0.056799826,0.073316106,0.330018593,3.322561637,3.998690488,1.514738366,91061,95043,157564,93488,737861,737881,1,4648794
MA,0.450480099,2.314085239,0.783486456,0.1132238,1.981721945,0.445014155,1.167714393,3.978669665,1.76058772,12712,43498,17503,12596,737862,737882,0,6892503
MD,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,
MI,0.224411807,3.947150018,0.398984585,0.056257995,3.787132784,0.231484342,1.042252871,3.98897626,1.723592113,34323,390003,48185,34134,737851,737882,0,9986857
MN,,,,,,,,,,,,,,,,,
MO,0.413931244,2.884325781,0.749152127,0.103638493,2.580865995,0.438597398,1.117580605,3.993991355,1.708063319,2697,12250,3823,2674,737863,737882,0,6137428
MS,0.305527666,3.982367829,0.550932083,0.07649801,3.762985349,0.322923671,1.058300115,3.993929623,1.70607525,1978,16536,2806,1969,737863,737882,0,2976149
MT,,,,,,,,,,,,,,,,,
NC,0.368954394,6.389456529,0.713779622,0.092512303,6.115834365,0.4351767,1.044739957,3.988165716,1.640206431,2881,30737,4244,2824,737856,737882,0,10488084
ND,,,,,,,,,,,,,,,,,
NE,,,,,,,,,,,,,,,,,
NH,,,,,,,,,,,,,,,,,
NJ,0.509880579,1.439758328,0.778974358,0.183337359,1.11392786,0.451479064,1.292505896,2.781105726,1.725383125,42264,88821,54772,38553,737857,737882,0,8882190
NM,,,,,,,,,,,,,,,,,
NV,,,,,,,,,,,,,,,,,
NY,0.35404308,1.935309618,0.628830272,0.088818357,1.674598965,0.362701612,1.155685426,3.986147604,1.733739943,136242,492088,189707,134386,737854,737882,0,19453561
OH,0.374199284,2.139937558,0.66997859,0.093863702,1.860736738,0.387885476,1.150048534,3.986623959,1.727258771,4681,17280,6549,4624,737859,737882,0,11689100
OK,,,,,,,,,,,,,,,,,
OR,,,,,,,,,,,,,,,,,
PA,0.399083059,3.768419982,0.744773532,0.099956144,3.47206593,0.445008726,1.085353809,3.992581579,1.673615567,12517,74738,18251,12434,737856,737882,0,12801989
PR,,,,,,,,,,,,,,,,,
RI,,,,,,,,,,,,,,,,,
SC,0.233325529,0.239586916,0.518901458,0.058337355,0.064604205,0.34407489,3.708534377,3.99959044,1.508106153,19706,20008,33602,19785,737857,737881,1,5148714
SD,,,,,,,,,,,,,,,,,
TN,0.234898287,0.81819585,0.512808981,0.058776227,0.64253132,0.336968381,1.2733945,3.996484645,1.521831159,20291,49047,33857,20318,737858,737882,0,6829174
TX,0.460160156,4.675375277,0.801194735,0.115363817,4.338305855,0.4548406,1.077696094,3.988773666,1.761484649,6240,41050,8594,6166,737856,737882,0,28995881
US,0.347297307,1.360736403,0.588301811,0.109386073,1.123203636,0.349594986,1.211477919,3.174968235,1.682809633,467862,1275364,645469,441224,737828,737882,0,328000000
UT,0.281131222,1.937780717,0.592251819,0.070406067,1.728510424,0.38195489,1.121069732,3.992997103,1.550580538,2993,13138,4823,2982,737860,737879,3,3205958
VA,,,,,,,,,,,,,,,,,
VT,,,,,,,,,,,,,,,,,
WA,0.208862396,0.656806486,0.324479018,0.063108955,0.513381431,0.178329699,1.279373281,3.309552439,1.81954559,12579,28586,16181,12047,737828,737882,0,7614893
WI,0.289221471,4.741731334,0.52392758,0.072410888,4.530102287,0.306563058,1.046716174,3.994171033,1.709036906,2858,29051,4032,2829,737860,737882,0,5822434
WV,,,,,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,
